CO1,P0021_FG_I1183,Dipsadidae,Hypsiglena,slevini
CO1,P0021_FG_I1302,Dipsadidae,Sibon,nebulatus
CO1,P0021_FG_I1363,Dipsadidae,Leptodeira,polysticta
CO1,P0021_FG_I7540,Dipsadidae,Hypsiglena,torquata
CO1,P0021_FG_I8101,Elapidae,Micrurus,fulvius
CO1,P0021_FG_I9380,Tropidophiidae,Tropidophis,haetianus
CO1,P0021_FG_I1179,Dipsadidae,Imantodes,gemmistratus
ND2,P0021_FG_I1179,Dipsadidae,Imantodes,gemmistratus
12S,P0021_FG_I1179,Dipsadidae,Imantodes,gemmistratus
16S,P0021_FG_I1179,Dipsadidae,Imantodes,gemmistratus
ND5,P0021_FG_I1179,Dipsadidae,Imantodes,gemmistratus
CO1,P0021_FG_I1270,Dipsadidae,Sibon,sartori
CYTB,P0021_FG_I1270,Dipsadidae,Sibon,sartori
ND2,P0021_FG_I1270,Dipsadidae,Sibon,sartori
12S,P0021_FG_I1270,Dipsadidae,Sibon,sartori
16S,P0021_FG_I1270,Dipsadidae,Sibon,sartori
ND5,P0021_FG_I1270,Dipsadidae,Sibon,sartori
CO1,P0021_FG_I1320,Acrochordidae,Acrochordus,javanicus
ND2,P0021_FG_I1320,Acrochordidae,Acrochordus,javanicus
ND5,P0021_FG_I1320,Acrochordidae,Acrochordus,javanicus
CO1,P0021_FG_I1362,Dipsadidae,Imantodes,lentiferus
ND2,P0021_FG_I1362,Dipsadidae,Imantodes,lentiferus
ND5,P0021_FG_I1362,Dipsadidae,Imantodes,lentiferus
CO1,P0021_FG_I1364,Dipsadidae,Leptodeira,splendida
ND2,P0021_FG_I1364,Dipsadidae,Leptodeira,splendida
12S,P0021_FG_I1364,Dipsadidae,Leptodeira,splendida
16S,P0021_FG_I1364,Dipsadidae,Leptodeira,splendida
ND5,P0021_FG_I1364,Dipsadidae,Leptodeira,splendida
CO1,P0021_FG_I1367,Dipsadidae,Leptodeira,maculata
ND2,P0021_FG_I1367,Dipsadidae,Leptodeira,maculata
12S,P0021_FG_I1367,Dipsadidae,Leptodeira,maculata
16S,P0021_FG_I1367,Dipsadidae,Leptodeira,maculata
ND5,P0021_FG_I1367,Dipsadidae,Leptodeira,maculata
CO1,P0021_FG_I7434,Tropidophiidae,Tropidophis,nigriventris
CYTB,P0021_FG_I7434,Tropidophiidae,Tropidophis,nigriventris
ND2,P0021_FG_I7434,Tropidophiidae,Tropidophis,nigriventris
12S,P0021_FG_I7434,Tropidophiidae,Tropidophis,nigriventris
16S,P0021_FG_I7434,Tropidophiidae,Tropidophis,nigriventris
ND5,P0021_FG_I7434,Tropidophiidae,Tropidophis,nigriventris
CO1,P0021_FG_I7441,Tropidophiidae,Tropidophis,semicinctus
CYTB,P0021_FG_I7441,Tropidophiidae,Tropidophis,semicinctus
ND2,P0021_FG_I7441,Tropidophiidae,Tropidophis,semicinctus
12S,P0021_FG_I7441,Tropidophiidae,Tropidophis,semicinctus
16S,P0021_FG_I7441,Tropidophiidae,Tropidophis,semicinctus
ND5,P0021_FG_I7441,Tropidophiidae,Tropidophis,semicinctus
CO1,P0021_FG_I7512,Dipsadidae,Imantodes,inornatus
ND2,P0021_FG_I7512,Dipsadidae,Imantodes,inornatus
12S,P0021_FG_I7512,Dipsadidae,Imantodes,inornatus
16S,P0021_FG_I7512,Dipsadidae,Imantodes,inornatus
ND5,P0021_FG_I7512,Dipsadidae,Imantodes,inornatus
CO1,P0021_FG_I7523,Dipsadidae,Leptodeira,rubricata
ND2,P0021_FG_I7523,Dipsadidae,Leptodeira,rubricata
12S,P0021_FG_I7523,Dipsadidae,Leptodeira,rubricata
16S,P0021_FG_I7523,Dipsadidae,Leptodeira,rubricata
ND5,P0021_FG_I7523,Dipsadidae,Leptodeira,rubricata
CO1,P0021_FG_I7529,Dipsadidae,Sibon,dimidiatus
CYTB,P0021_FG_I7529,Dipsadidae,Sibon,dimidiatus
ND2,P0021_FG_I7529,Dipsadidae,Sibon,dimidiatus
12S,P0021_FG_I7529,Dipsadidae,Sibon,dimidiatus
ND5,P0021_FG_I7529,Dipsadidae,Sibon,dimidiatus
CO1,P0021_FG_I9381,Tropidophiidae,Tropidophis,greenwayi
ND2,P0021_FG_I9381,Tropidophiidae,Tropidophis,greenwayi
ND5,P0021_FG_I9381,Tropidophiidae,Tropidophis,greenwayi
